"id" "rt" "err" "stim" "type" "img" "word" "order"
"1" "6101" 6.57786135772105 0 "BYE" "word" "low" NA -1.71949705351068
"2" "6101" 7.13489085156588 0 "NAYVY" "pseudohomophone" NA "less" -1.70528633406018
"3" "6101" 6.73578001424233 0 "BOAL" "pseudohomophone" NA "more" -1.69107561460967
"4" "6101" 6.69332366826995 0 "PERCE" "pseudohomophone" NA "less" -1.67686489515917
"5" "6101" 6.57228254269401 0 "DIRE" "word" "low" NA -1.66265417570867
"6" "6101" 6.5410299991899 0 "LERCE" "nonword" NA "less" -1.64844345625817
"7" "6101" 6.2803958389602 0 "WARN" "word" "low" NA -1.63423273680767
"8" "6101" 6.72142570079064 0 "JAW" "word" NA NA -1.62002201735717
"9" "6101" 6.31896811374643 0 "SANDE" "pseudohomophone" NA "less" -1.60581129790667
"10" "6101" 6.60394382460047 0 "DURT" "pseudohomophone" NA "more" -1.59160057845616
"11" "6101" 6.5366915975913 0 "FAWLT" "pseudohomophone" NA "less" -1.57738985900566
"12" "6101" 7.37525577800975 0 "TEAR" "word" NA NA -1.56317913955516
"13" "6101" 6.69703424766648 0 "HAIK" "nonword" NA "less" -1.54896842010466
"14" "6101" 6.64118216974059 0 "BOR" "pseudohomophone" NA "more" -1.53475770065416
"15" "6101" 7.28138566357028 0 "WITCH" "word" NA NA -1.52054698120366
"16" "6101" 6.53378883793334 0 "JALE" "pseudohomophone" NA "more" -1.50633626175316
"17" "6101" 6.46458830368996 0 "TRALE" "pseudohomophone" NA "more" -1.49212554230265
"18" "6101" 6.56667242980324 0 "PIN" "word" "high" NA -1.47791482285215
"19" "6101" 6.43615036836943 0 "HASTE" "word" "low" NA -1.46370410340165
"20" "6101" 6.39024066706535 0 "HOARN" "pseudohomophone" NA "less" -1.44949338395115
"21" "6101" 6.48920493132532 0 "COYN" "pseudohomophone" NA "less" -1.43528266450065
"22" "6101" 6.55393340402581 0 "BERCE" "nonword" NA "less" -1.42107194505015
"23" "6101" 6.42324696353352 0 "SPOART" "pseudohomophone" NA "less" -1.40686122559964
"24" "6101" 6.73101810048208 0 "BAN" "word" "low" NA -1.39265050614914
"25" "6101" 6.3578422665081 0 "ROYNT" "nonword" NA "less" -1.37843978669864
"26" "6101" 6.43615036836943 0 "LOAST" "nonword" NA "more" -1.36422906724814
"27" "6101" 6.13339804299665 0 "MASK" "word" "high" NA -1.35001834779764
"28" "6101" 6.37161184723186 0 "LAFF" "pseudohomophone" NA "more" -1.33580762834714
"29" "6101" NA 1 "BIN" "word" NA NA -1.32159690889664
"30" "6101" 6.25190388316589 0 "PET" "word" "high" NA -1.30738618944613
"31" "6101" 6.44888939414686 0 "DEEZ" "nonword" NA "less" -1.29317546999563
"32" "6101" 6.74875954749168 0 "NADA" "word" NA NA -1.27896475054513
"33" "6101" 6.53524127101366 0 "GREE" "nonword" NA "more" -1.26475403109463
"34" "6101" 6.40191719672719 0 "STAHR" "pseudohomophone" NA "less" -1.25054331164413
"35" "6101" 6.68586094706836 0 "OATH" "word" "low" NA -1.23633259219363
"36" "6101" 6.87212810133899 0 "GLOAB" "pseudohomophone" NA "less" -1.22212187274313
"37" "6101" 6.50428817353665 0 "VURSE" "pseudohomophone" NA "more" -1.20791115329262
"38" "6101" 6.55535689181067 0 "HUE" "word" "low" NA -1.19370043384212
"39" "6101" 6.54678541076052 0 "SPICE" "word" "high" NA -1.17948971439162
"40" "6101" 6.66949808985788 0 "FAD" "word" "low" NA -1.16527899494112
"41" "6101" 6.76272950693188 0 "SWET" "pseudohomophone" NA "more" -1.15106827549062
"42" "6101" 6.74758652682932 0 "BIKE" "word" "high" NA -1.13685755604012
"43" "6101" 6.44888939414686 0 "YAWX" "nonword" NA "less" -1.12264683658962
"44" "6101" 6.49223983502047 0 "BLURSE" "nonword" NA "more" -1.10843611713911
"45" "6101" 6.3818160174061 0 "FIST" "word" "high" NA -1.09422539768861
"46" "6101" NA 1 "TACT" "word" "low" NA -1.08001467823811
"47" "6101" 6.35437004079735 0 "BLAME" "word" "low" NA -1.06580395878761
"48" "6101" 6.35262939631957 0 "FALCE" "pseudohomophone" NA "less" -1.05159323933711
"49" "6101" 6.09807428216624 0 "BLEEK" "pseudohomophone" NA "more" -1.03738251988661
"50" "6101" 6.35957386867238 0 "POP" "word" NA NA -1.02317180043611
"51" "6101" 6.74405918631135 0 "FERSE" "nonword" NA "more" -1.0089610809856
"52" "6101" 6.61873898351722 0 "LOAK" "nonword" NA "more" -0.994750361535102
"53" "6101" 6.32256523992728 0 "DEEF" "nonword" NA "more" -0.980539642084601
"54" "6101" 6.24804287450843 0 "FAYZE" "pseudohomophone" NA "less" -0.9663289226341
